Rank,Name,ath
1,bitcoin,69045
2,ethereum,4878.26
3,tether,1.32
4,binancecoin,686.31
5,ripple,3.4
6,usd-coin,1.17
7,staked-ether,4829.57
8,dogecoin,0.731578
9,cardano,3.09
10,solana,259.96
11,tron,0.231673
12,polkadot,54.98
13,matic-network,2.92
14,litecoin,410.26
15,shiba-inu,8.616e-05
16,wrapped-bitcoin,70643
17,bitcoin-cash,3785.82
18,uniswap,44.92
19,avalanche-2,144.96
20,the-open-network,5.29
21,dai,1.22
22,chainlink,52.7
23,stellar,0.875563
24,leo-token,8.14
25,binance-usd,1.15
26,true-usd,1.62
27,monero,542.33
28,okb,58.66
29,ethereum-classic,167.09
30,cosmos,44.45
31,hedera-hashgraph,0.569229
32,internet-computer,700.65
33,filecoin,236.84
34,mantle,0.600075
35,lido-dao,7.3
36,crypto-com-chain,0.965407
37,quant-network,427.42
38,aptos,19.92
39,arbitrum,8.67
40,vechain,0.280991
41,near,20.44
42,optimism,3.22
43,maker,6292.31
44,rocket-pool-eth,4814.31
45,the-graph,2.84
46,kaspa,0.051714
47,aave,661.69
48,xdce-crowd-sale,0.192754
49,algorand,3.56
50,the-sandbox,8.4
51,havven,28.53
52,frax,1.14
53,elrond-erd-2,545.64
54,blockstack,3.39
55,eos,22.71
56,whitebit,14.64
57,immutable-x,9.52
58,axie-infinity,164.9
59,tezos,9.12
60,usdd,1.044
61,theta-token,15.72
62,bitcoin-cash-sv,489.75
63,decentraland,5.85
64,apecoin,26.7
65,injective-protocol,24.89
66,flex-coin,12.32
67,fantom,3.46
68,bitget-token,0.515471
69,neo,198.38
70,render-token,8.78
71,gala,0.824837
72,ecash,0.00038001
73,flow,42.4
74,kava,9.12
75,gatechain-token,12.94
76,compound-ether,97.75
77,kucoin-shares,28.83
78,radix,0.651264
79,chiliz,0.878633
80,curve-dao-token,15.37
81,paxos-standard,1.13
82,rocket-pool,61.9
83,klay-token,4.34
84,iota,5.25
85,pax-gold,2241.37
86,pepe,4.31e-06
87,tether-gold,2169.74
88,frax-share,42.8
89,terra-luna,119.18
90,frax-ether,2134.61
91,tokenize-xchange,22.3
92,gmx,91.07
93,casper-network,1.33
94,bittorrent,3.43e-06
95,sui,2.16
96,mina-protocol,9.09
97,huobi-token,39.66
98,bone-shibaswap,15.5
99,trust-wallet-token,2.72
100,compound-governance-token,910.54
101,dash,1493.59
102,conflux-token,1.7
103,gemini-dollar,3.3
104,nexo,4.07
105,dydx,27.86
106,nxm,185.97
107,rollbit-coin,0.129019
108,arweave,89.24
109,zilliqa,0.255376
110,pancakeswap-token,43.96
111,woo-network,1.78
112,basic-attention-token,1.9
113,apenft,7.53e-06
114,1inch,8.65
115,compound-usd-coin,0.058843
116,staked-frax-ether,7545.09
117,flare-networks,0.150073
118,helium,54.88
119,liquity-usd,1.16
120,thorchain,20.87
121,enjincoin,4.82
122,gnosis,644.2
123,mx-token,3.7
124,loopring,3.75
125,mask-network,41.45
126,osmosis,11.25
127,bitcoin-gold,456.25
128,qtum,100.22
129,oec-token,250.53
130,huobi-btc,166135
131,nem,1.87
132,illuvium,1911.26
133,first-digital-usd,1.011
134,convex-finance,60.09
135,celo,9.82
136,singularitynet,0.95023
137,chia,1645.12
138,theta-fuel,0.68159
139,zcash,3191.93
140,ethereum-name-service,83.4
141,blur,5.02
142,worldcoin-wld,3.3
143,astar,0.421574
144,oasis-network,0.597347
145,open-exchange-token,0.075025
146,holotoken,0.03126682
147,escoin-token,3.61
148,tether-eurt,1.31
149,decred,247.35
150,audius,4.95
151,floki,0.00033651
152,aleph-zero,3.09
153,ravencoin,0.285218
154,yearn-finance,90787
155,cdai,0.03159087
156,defichain,5.61
157,stepn,4.11
158,fetch-ai,1.17
159,icon,13.16
160,beldex,137242055
161,tominet,6.59
162,just,0.193254
